year,yoy_inflation_change,inflation_rate,avg_inflation_since_year
1990,0.061,0.0700,0.0266
1991,0.031,0.0400,0.0256
1992,0.029,0.0300,0.0254
1993,0.027,0.0300,0.0253
1994,0.027,0.0550,0.0253
1995,0.025,0.0550,0.0252
1996,0.033,0.0525,0.0252
1997,0.017,0.0550,0.0249
1998,0.016,0.0475,0.0252
1999,0.027,0.0550,0.0256
2000,0.034,0.0650,0.0255
2001,0.016,0.0175,0.0252
2002,0.024,0.0125,0.0256
2003,0.019,0.0100,0.0257
2004,0.033,0.0225,0.0260
2005,0.034,0.0425,0.0256
2006,0.025,0.0525,0.0252
2007,0.041,0.0425,0.0252
2008,0.001,0.0025,0.0242
2009,0.027,0.0025,0.0257
2010,0.015,0.0025,0.0256
2011,0.030,0.0025,0.0265
2012,0.017,0.0025,0.0262
2013,0.015,0.0025,0.0270
2014,0.008,0.0025,0.0282
2015,0.007,0.0050,0.0304
2016,0.021,0.0075,0.0334
2017,0.021,0.0150,0.0351
2018,0.019,0.0250,0.0375
2019,0.023,0.0175,0.0412
2020,0.014,0.0025,0.0458
2021,0.070,0.0025,0.0563
2022,0.065,0.0450,0.0495
2023,0.034,0.0550,0.0340
