season,player_slug
1955-56,bob-pettit
1956-57,bob-cousy
1957-58,bill-russell
1958-59,bob-pettit
1959-60,wilt-chamberlain
1960-61,bill-russell
1961-62,bill-russell
1962-63,bill-russell
1963-64,oscar-robertson
1964-65,bill-russell
1965-66,wilt-chamberlain
1966-67,wilt-chamberlain
1967-68,wilt-chamberlain
1968-69,lew-alcindor
1969-70,willis-reed
1970-71,kareem-abdul-jabbar
1971-72,kareem-abdul-jabbar
1972-73,kareem-abdul-jabbar
1973-74,kareem-abdul-jabbar
1974-75,bob-mcadoo
1975-76,kareem-abdul-jabbar
1976-77,kareem-abdul-jabbar
1977-78,kareem-abdul-jabbar
1978-79,magic-johnson
1979-80,kareem-abdul-jabbar
1980-81,julius-erving
1981-82,magic-johnson
1982-83,moses-malone
1983-84,larry-bird
1984-85,larry-bird
1985-86,larry-bird
1986-87,magic-johnson
1987-88,michael-jordan
1988-89,magic-johnson
1989-90,magic-johnson
1990-91,michael-jordan
1991-92,michael-jordan
1992-93,charles-barkley
1993-94,hakeem-olajuwon
1994-95,david-robinson
1995-96,michael-jordan
1996-97,karl-malone
1997-98,michael-jordan
1998-99,karl-malone
1999-00,shaquille-o-neal
2000-01,allen-iverson
2001-02,tim-duncan
2002-03,tim-duncan
2003-04,kevin-garnett
2004-05,steve-nash
2005-06,steve-nash
2006-07,dirk-nowitzki
2007-08,kobe-bryant
2008-09,lebron-james
2009-10,lebron-james
2010-11,derrick-rose
2011-12,lebron-james
2012-13,lebron-james
2013-14,kevin-durant
2014-15,stephen-curry
2015-16,stephen-curry
2016-17,russell-westbrook
2017-18,james-harden
2018-19,giannis-antetokounmpo
2019-20,giannis-antetokounmpo
2020-21,nikola-jokic
2021-22,nikola-jokic
2022-23,joel-embiid
