PLAYER,pos,body_fat,hand_length_inches,hand_width_inches,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,year
Zach Edey,C,-%,9.75,11,7' 3.25'',,9' 7.50'',306.4,7' 10.50'',2023
Ryan Kalkbrenner,C,-%,9.25,11,7' 0.75'',,9' 4.50'',251.8,7' 5.00'',2023
Oscar Tshiebwe,C,-%,9.75,10.25,6' 7.25'',,9' 0.00'',253.6,7' 3.50'',2023
Mouhamed Gueye,C,-%,9,10,6' 10.25'',,9' 2.50'',212.6,7' 3.25'',2023
Adama Sanogo,C,-%,9.75,10,6' 7.25'',,9' 0.50'',257.8,7' 2.75'',2023
Tristan Vukcevic,C,-%,9,10.25,6' 11.25'',,9' 3.00'',223.4,7' 2.50'',2023
Jarace Walker,PF,-%,9,10,6' 6.50'',,8' 8.50'',248.6,7' 2.50'',2023
Leonard Miller,PF,-%,9.5,10.5,6' 9.25'',,8' 10.50'',212.8,7' 2.00'',2023
Rayan Rupert,SF,-%,8.5,9.5,6' 6.00'',,8' 10.00'',193.2,7' 2.00'',2023
Drew Timme,C,-%,9,10,6' 8.75'',,9' 0.50'',243.2,7' 1.75'',2023
Jordan Walsh,SF,-%,8.75,8.5,6' 5.75'',,8' 11.00'',204,7' 1.75'',2023
Trayce Jackson-Davis,C,-%,9.25,10.75,6' 8.25'',,8' 10.00'',240.4,7' 1.00'',2023
Olivier-Maxence Prosper,PF,-%,8.25,10,6' 6.75'',,8' 8.00'',212.4,7' 1.00'',2023
Kobe Brown,PF,-%,8.75,9.75,6' 6.50'',,8' 10.50'',252.2,7' 0.75'',2023
Toumani Camara,PF,-%,9,10,6' 7.00'',,8' 11.00'',220.4,7' 0.50'',2023
Taylor Hendricks,PF,-%,9.25,10.25,6' 8.25'',,8' 11.00'',213.6,7' 0.50'',2023
DaRon Holmes II,C,-%,8.5,9.5,6' 9.00'',,9' 1.00'',220.8,7' 0.50'',2023
Arthur Kaluma,PF,-%,8.5,10,6' 6.25'',,8' 7.50'',221.8,7' 0.50'',2023
Coleman Hawkins,PF,-%,8.75,8.75,6' 8.50'',,9' 0.50'',224.4,7' 0.25'',2023
Keyontae Johnson,SF,-%,9,9,6' 4.00'',,8' 7.00'',238.6,7' 0.00'',2023
Maxwell Lewis,SG,-%,8.75,9.5,6' 6.25'',,8' 8.50'',207.2,7' 0.00'',2023
Grant Nelson,PF,-%,9,9.5,6' 10.00'',,8' 10.50'',223.4,7' 0.00'',2023
Amen Thompson,SG,-%,8.5,8.5,6' 5.75'',,8' 7.50'',214.2,7' 0.00'',2023
Ausar Thompson,SG,-%,8.75,9.25,6' 5.75'',,8' 8.00'',218.2,7' 0.00'',2023
Jordan Miller,SF,-%,8.5,9.25,6' 4.50'',,8' 7.50'',191.6,6' 11.75'',2023
Kris Murray,PF,-%,8.5,9,6' 7.75'',,8' 10.00'',212.8,6' 11.75'',2023
Jalen Slawson,PF,-%,9,9,6' 6.50'',,8' 10.00'',221.6,6' 11.75'',2023
GG Jackson,PF,-%,8.5,10,6' 8.25'',,8' 10.00'',214.4,6' 11.50'',2023
Julian Phillips,SF,-%,8.5,9,6' 6.75'',,8' 6.00'',196.6,6' 11.50'',2023
Chris Livingston,SF,-%,8.5,9,6' 6.00'',,8' 8.50'',219.2,6' 11.25'',2023
Azuolas Tubelis,PF,-%,9,10.5,6' 8.75'',,9' 0.00'',234.8,6' 11.00'',2023
Jalen Hood-Schifino,PG,-%,9,9.75,6' 4.25'',,8' 4.50'',216.6,6' 10.25'',2023
Seth Lundy,SF,-%,8.5,9,6' 4.00'',,8' 8.00'',214.4,6' 10.25'',2023
Dariq Whitehead,SG,-%,8.5,10,6' 5.75'',,8' 7.50'',217.2,6' 10.25'',2023
Trey Alexander,SG,-%,8.5,8.75,6' 3.25'',,8' 5.50'',184.6,6' 10.00'',2023
Dillon Mitchell,PF,-%,8.25,9.5,6' 6.75'',,8' 9.00'',193,6' 10.00'',2023
Sidy Cissoko,SF,-%,9.25,10,6' 5.50'',,8' 8.00'',223.8,6' 9.75'',2023
Andre Jackson Jr.,SF,-%,8.25,9.5,6' 5.50'',,8' 7.00'',198.4,6' 9.75'',2023
